"component_id";"component_type";"component_name";"page_id";"role_id";"is_active"
45281481702457929;"PROCESS";"<span class=""fa fa-play-circle"" style=""color: #555; margin: 0.125rem 0.5rem 0 0;""></span>PROCESS_BULK_REQUEST";110;"DEFAULT_USER";"Y"
45281519596457930;"PROCESS";"<span class=""fa fa-play-circle"" style=""color: #555; margin: 0.125rem 0.5rem 0 0;""></span>PROCESS_BULK_INIT";110;"ADMIN";"Y"
45281519596457930;"PROCESS";"<span class=""fa fa-play-circle"" style=""color: #555; margin: 0.125rem 0.5rem 0 0;""></span>PROCESS_BULK_INIT";110;"DEFAULT_USER";"Y"
45281736757457932;"PROCESS";"DELETE_COMMENT";105;"ADMIN";"Y"
45281736757457932;"PROCESS";"DELETE_COMMENT";105;"DEFAULT_USER";"Y"
45281736757457932;"PROCESS";"DELETE_COMMENT";105;"";""
45282249548457937;"PROCESS";"SAVE_SPLIT_CHECKLIST";105;"ADMIN";"Y"
45282249548457937;"PROCESS";"SAVE_SPLIT_CHECKLIST";105;"DEFAULT_USER";"Y"
45282249548457937;"PROCESS";"SAVE_SPLIT_CHECKLIST";105;"";""
45282650022457941;"PROCESS";"SAVE_ATTACHEMENTS";105;"ADMIN";"Y"
45282650022457941;"PROCESS";"SAVE_ATTACHEMENTS";105;"DEFAULT_USER";"Y"
45282650022457941;"PROCESS";"SAVE_ATTACHEMENTS";105;"";""
45415049705005628;"BUTTON";"SYNC_GITHUB";500;"ADMIN";"Y"
45415049705005628;"BUTTON";"SYNC_GITHUB";500;"BOARDS_MANAGER";"Y"
45415049705005628;"BUTTON";"SYNC_GITHUB";500;"PROJECT_MANAGER";"Y"
45415049705005628;"BUTTON";"SYNC_GITHUB";500;"";""
45415190909005629;"PROCESS";"SYNC_GITHUB";500;"ADMIN";"Y"
45415190909005629;"PROCESS";"SYNC_GITHUB";500;"";""
45517331940836013;"BUTTON";"ADD_TO_FAVORITES";100;"ADMIN";"Y"
45517331940836013;"BUTTON";"ADD_TO_FAVORITES";100;"DEFAULT_USER";"Y"
45517331940836013;"BUTTON";"ADD_TO_FAVORITES";100;"";""
45519220948836032;"REGION";"&nbsp; &nbsp; &nbsp; Project Boards [GRID] &mdash; Interactive Report";200;"ADMIN";"Y"
45519220948836032;"REGION";"&nbsp; &nbsp; &nbsp; Project Boards [GRID] &mdash; Interactive Report";200;"DEFAULT_USER";"Y"
45519220948836032;"REGION";"Project Boards [GRID]";200;"";""
45641524596302836;"BUTTON";"REORDER_STATUSES";230;"ADMIN";"Y"
45641524596302836;"BUTTON";"REORDER_STATUSES";230;"BOARDS_MANAGER";"Y"
45641524596302836;"BUTTON";"REORDER_STATUSES";230;"";""
45646531934302851;"PROCESS";"REORDER_STATUSES";230;"ADMIN";"Y"
45646531934302851;"PROCESS";"REORDER_STATUSES";230;"BOARDS_MANAGER";"Y"
45646531934302851;"PROCESS";"REORDER_STATUSES";230;"";""
45659035770305439;"BUTTON";"REORDER_SWIMLANES";250;"ADMIN";"Y"
45659035770305439;"BUTTON";"REORDER_SWIMLANES";250;"BOARDS_MANAGER";"Y"
45659035770305439;"BUTTON";"REORDER_SWIMLANES";250;"";""
45665498236305447;"PROCESS";"REORDER_SWIMLANES";250;"ADMIN";"Y"
45665498236305447;"PROCESS";"REORDER_SWIMLANES";250;"BOARDS_MANAGER";"Y"
45665498236305447;"PROCESS";"REORDER_SWIMLANES";250;"";""
45760155557794019;"BUTTON";"&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; ADD_BOARD";200;"ADMIN";"Y"
45760155557794019;"BUTTON";"&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; ADD_BOARD";200;"BOARDS_MANAGER";"Y"
45760155557794019;"BUTTON";"ADD_BOARD";200;"";""
45762913969794047;"GRID_COLUMN";"&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; EDIT_BUTTON";200;"ADMIN";"Y"
45762913969794047;"GRID_COLUMN";"&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; EDIT_BUTTON";200;"BOARDS_MANAGER";"Y"
45762913969794047;"GRID_COLUMN";"EDIT_BUTTON";200;"";""
45892186832541601;"BUTTON";"REMOVE_FROM_FAVORITES";100;"ADMIN";"Y"
45892186832541601;"BUTTON";"REMOVE_FROM_FAVORITES";100;"DEFAULT_USER";"Y"
45892186832541601;"BUTTON";"REMOVE_FROM_FAVORITES";100;"";""
45892317855541603;"PROCESS";"ADD_TO_FAVORITES";100;"ADMIN";"Y"
45892317855541603;"PROCESS";"ADD_TO_FAVORITES";100;"DEFAULT_USER";"Y"
45892317855541603;"PROCESS";"ADD_TO_FAVORITES";100;"";""
45892489830541604;"PROCESS";"REMOVE_FROM_FAVORITES";100;"ADMIN";"Y"
45892489830541604;"PROCESS";"REMOVE_FROM_FAVORITES";100;"DEFAULT_USER";"Y"
45892489830541604;"PROCESS";"REMOVE_FROM_FAVORITES";100;"";""
46260417924307821;"REGION";"&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Checklist [GRID]";105;"ADMIN";"Y"
46260417924307821;"REGION";"&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Checklist [GRID]";105;"DEFAULT_USER";"Y"
46260417924307821;"REGION";"Checklist [GRID]";105;"";""
46261416534307831;"PROCESS";"SAVE_CHECKLIST";105;"ADMIN";"Y"
